MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
alpha-2-macroglobulin receptor-associated protein measurement,alpha-2-macroglobulin,D045384
"major depressive episode, attention deficit hyperactivity disorder, schizophrenia, anorexia nervosa, obesity",depressive episode,
matrix metalloproteinase 10 measurement,matrix,D001857
CDKN2D/FOXO1 protein level ratio in blood,CDKN2D/FOXO1 protein,
ADP-ribosylation factor-binding protein GGA1 measurement,ADP-ribosylation,D000074744
AXL/VCAM1 protein level ratio in blood,AXL/VCAM1 protein,
amount of large proline-rich protein BAG6 (human) in blood,proline-rich protein,D055233
TRAF2/WWP2 protein level ratio in blood,TRAF2/WWP2 protein,
IgG monogalactosylation measurement,IgG,D017099
nmrA-like family domain-containing protein 1 measurement,nmrA-like,
FOXO1/TBL1X protein level ratio in blood,FOXO1/TBL1X protein,
level of phosphoinositide 3-kinase adapter protein 1 in blood,level,D000082162
"orofacial cleft, alcohol consumption quality, cleft lip",orofacial cleft,
CD2AP/TRAF2 protein level ratio in blood,CD2AP/TRAF2 protein,
LBR/TXNDC5 protein level ratio in blood,LBR/TXNDC5 protein,
"longitudinal BMI measurement, non-small cell lung carcinoma",longitudinal BMI,
level of 28 kDa heat- and acid-stable phosphoprotein in blood,level,D000082162
ETS domain-containing protein Elk-1 measurement,ETS domain-containing protein Elk-1 measurement,
FOXO3/MAP3K5 protein level ratio in blood,FOXO3/MAP3K5 protein,
sPARC-related modular calcium-binding protein 1 measurement,sPARC-related modular calcium-binding protein 1,
protein disulfide-isomerase measurement,protein disulfide-isomerase measurement,
ELAV-like protein 1 measurement,ELAV-like protein 1,D000067780
NSFL1C/TXNDC5 protein level ratio in blood,NSFL1C/TXNDC5 protein,
FOXO1/USP8 protein level ratio in blood,protein level,
level of coiled-coil and C2 domain-containing protein 1A in blood,level,D000082162
probable RNA-binding protein EIF1AD measurement,RNA-binding protein,D034802
COMT/HNRNPK protein level ratio in blood,COMT/HNRNPK protein,
MCFD2/TXNDC5 protein level ratio in blood,MCFD2/TXNDC5 protein,
level of zinc finger and BTB domain-containing protein 16 in blood,level,D000082162
CKAP4/TNFRSF4 protein level ratio in blood,CKAP4/TNFRSF4 protein,
CCL17/F2R protein level ratio in blood,CCL17/F2R protein,
uncharacterized protein C7orf69 measurement,uncharacterized protein C7orf69 measurement,
"migraine without aura, susceptibility to, 4, systolic blood pressure",migraine,D008881
EH domain-containing protein 4 measurement,EH domain-containing protein 4,
FXYD5/PRDX3 protein level ratio in blood,FXYD5/PRDX3 protein,
level of neuronal calcium sensor 1 in blood,level,D000082162
14-3-3 protein theta measurement,protein theta measurement,
CCL17/CD69 protein level ratio in blood,CCL17/CD69 protein,
COMT/RHOC protein level ratio in blood,COMT/RHOC protein,
protein lin-7 homolog B measurement,protein lin-7,
insulin secretion trait,insulin secretion trait,
CCL5/CXCL3 protein level ratio in blood,CCL5/CXCL3 protein,
ribosome maturation protein SBDS amount,ribosome maturation protein,
FLI1/TBL1X protein level ratio in blood,FLI1/TBL1X protein,
MAP4K5/STAMBP protein level ratio in blood,MAP4K5/STAMBP protein,
FHIT/MAX protein level ratio in blood,FHIT/MAX protein,
level of Ran-specific GTPase-activating protein in blood,level,D000082162
CRTAM/ICAM3 protein level ratio in blood,CRTAM/ICAM3 protein,
"hypertension, COVID-19",hypertension,D006973
UV excision repair protein RAD23 homolog B measurement,UV excision repair protein,
ADGRE2/IFNGR1 protein level ratio in blood,ADGRE2/IFNGR1 protein,
FLI1/SH2B3 protein level ratio in blood,FLI1/SH2B3 protein,
PTPN1/WWP2 protein level ratio in blood,PTPN1/WWP2 protein,
E3 ubiquitin-protein ligase ZNRF3 measurement,E3 ubiquitin-protein ligase,
DGKZ/FXYD5 protein level ratio in blood,DGKZ/FXYD5 protein,
level of proline/serine-rich coiled-coil protein 1 in blood,level,D000082162
CD40/VSIR protein level ratio in blood,CD40/VSIR protein,
level of YTH domain-containing family protein 3 in blood,level,D000082162
CD48/CRTAM protein level ratio in blood,CD48/CRTAM,
level of protein IMPACT in blood,level,D000082162
mast cell-expressed membrane protein 1 measurement,mast,D058890
level of cAMP-dependent protein kinase type II-alpha regulatory subunit in blood,level,D000082162
dual specificity mitogen-activated protein kinase kinase 2 measurement,dual specificity,D054638
type III endosome membrane protein TEMP measurement,type III endosome membrane protein,
TGFBR2/TNFRSF1A protein level ratio in blood,TGFBR2/TNFRSF1A protein,
transcriptional activator protein Pur-alpha measurement,transcriptional activator protein,
BTN2A1/SPINT2 protein level ratio in blood,BTN2A1/SPINT2 protein,
level of cAMP-dependent protein kinase type I-alpha regulatory subunit in blood,level,D000082162
inactive ribonuclease-like protein 10 measurement,inactive,
FYB1/PDGFB protein level ratio in blood,FYB1/PDGFB protein,
BCAN/MOG protein level ratio in blood,BCAN/MOG protein,
transforming protein RhoA measurement,transforming protein,D000071425
phosphatidylethanolamine-binding protein 1 measurement,phosphatidylethanolamine-binding protein 1,
CCN2/TPP1 protein level ratio in blood,CCN2/TPP1 protein,
PEAR1/SPINT2 protein level ratio in blood,PEAR1/SPINT2 protein,
tyrosine-protein kinase lyn measurement,tyrosine-protein kinase lyn measurement,
CNPY4/ERBIN protein level ratio in blood,CNPY4/ERBIN protein,
COMM domain-containing protein 1 measurement,COMM domain-containing protein 1,
IFNGR1/LTBR protein level ratio in blood,IFNGR1/LTBR protein,
CCN3/COL6A3 protein level ratio in blood,CCN3/COL6A3 protein,
serine/threonine-protein kinase MRCK beta measurement,serine/threonine-protein kinase,D000071158
ICA1/SPRY2 protein level ratio in blood,ICA1/SPRY2 protein,
40S ribosomal protein S3a measurement,40S ribosomal protein S3a,
level of zinc phosphodiesterase ELAC protein 1 in blood,level,D000082162
NGFI-A-binding protein 1 measurement,NGFI-A-binding protein 1,
HBEGF/PLXNA4 protein level ratio in blood,HBEGF/PLXNA4 protein,
microtubule-associated protein tau measurement,microtubule-associated protein tau measurement,
GZMA/TNFRSF4 protein level ratio in blood,GZMA/TNFRSF4 protein,
level of developmentally-regulated GTP-binding protein 2 in blood,level,D000082162
next to BRCA1 gene 1 protein measurement,BRCA1,D019313
HBEGF/PFKFB2 protein level ratio in blood,HBEGF/PFKFB2 protein level,
level of glyoxalase domain-containing protein 4 in blood,level,D000082162
"household income, smoking status measurement, educational attainment, protein intake measurement, carbohydrate intake measurement, alcohol consumption quality, body mass index, energy intake measurement",household income,
n-acetylserotonin O-methyltransferase-like protein measurement,n-acetylserotonin,
CPXM1/HBEGF protein level ratio in blood,CPXM1/HBEGF protein,
CORO1A/TBC1D5 protein level ratio in blood,CORO1A/TBC1D5 protein,
"systolic blood pressure, sleep duration trait",systolic blood pressure,
dickkopf-like protein 1 measurement,dickkopf-like protein 1,
40s ribosomal protein S3 measurement,40s ribosomal protein S3 measurement,
FOXO1/IRAK4 protein level ratio in blood,FOXO1/IRAK4 protein,
level of serine/threonine-protein kinase LATS1 in blood,level,D000082162
CD79B/TNFRSF4 protein level ratio in blood,CD79B/TNFRSF4 protein,
CD46/TIMP1 protein level ratio in blood,CD46/TIMP1 protein,
GRB2-related adapter protein measurement,GRB2-related,
level of La-related protein 1 in blood,level,D000082162
ENO2/FXYD5 protein level ratio in blood,ENO2/FXYD5 protein,
CRTAM/PDCD1 protein level ratio in blood,CRTAM/PDCD1 protein,
level of secretory carrier-associated membrane protein 3 in blood,level,D000082162
APP/NID1 protein level ratio in blood,protein level,
platelet glycoprotein VI level,platelet glycoprotein,D019039
serine/threonine-protein kinase PAK 4 measurement,serine/threonine-protein kinase,D000071158
APEX1/LSP1 protein level ratio in blood,APEX1/LSP1 protein,
non-alcoholic fatty liver disease severity measurement,non-alcoholic fatty liver disease,D065626
MAP4K5/TBCC protein level ratio in blood,MAP4K5/TBCC protein,
CCL5/TACC3 protein level ratio in blood,CCL5/TACC3 protein,
level of ataxin-2-like protein in blood,level,D000082162
level of poly(rC)-binding protein 2 in blood,level,D000082162
FXYD5/IRAK1 protein level ratio in blood,FXYD5/IRAK1 protein,
14-3-3 protein beta/alpha measurement,protein beta/alpha measurement,
level of phosphoprotein associated with glycosphingolipid-enriched microdomains 1 in blood,level,D000082162
"type 2 diabetes mellitus, major depressive disorder, coronary artery disease",type 2 diabetes mellitus,
CCN1/DNAJB1 protein level ratio in blood,CCN1/DNAJB1 protein,
CCN2/ENO2 protein level ratio in blood,CCN2/ENO2 protein,
acyl-CoA-binding domain-containing protein 6 measurement,acyl-CoA-binding domain-containing protein,
FXYD5/ICA1 protein level ratio in blood,FXYD5/ICA1 protein,
X-08402-to-cholesterol ratio,X-08402-to-cholesterol ratio,
level of phosphofurin acidic cluster sorting protein 2 in blood,level,D000082162
"migraine disorder, systolic blood pressure",migraine disorder,D008881
FADD/PTPN6 protein level ratio in blood,protein level,
protein FAM3B measurement,protein FAM3B,
CD69/PLXNB3 protein level ratio in blood,CD69/PLXNB3 protein,
FXYD5/YTHDF3 protein level ratio in blood,FXYD5/YTHDF3 protein,
level of OTU domain-containing protein 7B in blood,level,D000082162
angiopoietin-related protein 7 measurement,angiopoietin-related protein 7,
PTPN1/SCAMP3 protein level ratio in blood,PTPN1/SCAMP3 protein,
"obsessive-compulsive disorder, major depressive episode, schizophrenia, anorexia nervosa, obesity",obsessive-compulsive disorder,D009771
level of Rab-interacting lysosomal protein in blood,level,D000082162
CD69/MPIG6B protein level ratio in blood,CD69/MPIG6B protein,
ADP-ribosylation factor GTPase-activating protein 2 measurement,ADP-ribosylation factor,D020823
CD69/CLEC1B protein level ratio in blood,CD69/CLEC1B protein,
"obsessive-compulsive disorder, major depressive episode, anorexia nervosa, obesity",obsessive-compulsive disorder,D009771
CD40/GLOD4 protein level ratio in blood,CD40/GLOD4 protein,
MED18/TACC3 protein level ratio in blood,MED18/TACC3 protein,
CCN2/SERPINB1 protein level ratio in blood,CCN2/SERPINB1 protein,
MMP9/OLR1 protein level ratio in blood,MMP9/OLR1 protein,
level of PC4 and SFRS1-interacting protein in blood,level,D000082162
NudC domain-containing protein 3 measurement,NudC domain-containing protein 3 measurement,
tax1-binding protein 3 measurement,tax1-binding protein 3,
CD40/F11R protein level ratio in blood,CD40/F11R protein,
tax1-binding protein 1 measurement,tax1-binding protein 1,
EIF4B/VASH1 protein level ratio in blood,protein level,
CD40LG/TNFSF14 protein level ratio in blood,CD40LG/TNFSF14 protein,
piwi-like protein 1 measurement,piwi-like protein 1,
level of protein phosphatase 1 regulatory subunit 12A in blood,level,D000082162
"phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase pten measurement",phosphatidylinositol,D019870
level of prion-like protein doppel in blood,level,D000082162
GRAP2/NCK2 protein level ratio in blood,GRAP2/NCK2 protein,
level of serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform in blood serum,level,D000082162
protein kinase c theta type measurement,protein kinase c,D011493
CDC37/SNX9 protein level ratio in blood,CDC37/SNX9 protein,
APEX1/NMNAT1 protein level ratio in blood,APEX1/NMNAT1 protein,
FCRL2/TNFRSF13B protein level ratio in blood,FCRL2/TNFRSF13B protein,
FOXO1/SNAP23 protein level ratio in blood,FOXO1/SNAP23,
FOXO1/NUB1 protein level ratio in blood,FOXO1/NUB1 protein level,
protein kinase c iota type measurement,protein kinase c,D011493
level of protein phosphatase inhibitor 2 in blood,level,D000082162
BTN2A1/CSF1 protein level ratio in blood,BTN2A1/CSF1 protein,
CDHR2/MME protein level ratio in blood,CDHR2/MME protein,
level of protein phosphatase 1F in blood,level,D000082162
CD40/ITGB5 protein level ratio in blood,CD40/ITGB5 protein,
CORO1A/SNX9 protein level ratio in blood,CORO1A/SNX9,
"diastolic blood pressure, sex interaction measurement",diastolic blood pressure,
ENO2/MANF protein level ratio in blood,ENO2/MANF protein,
level of pyridoxal phosphate homeostasis protein PLPBP in blood,level,D000082162
complement C1q and tumor necrosis factor-related protein 9A measurement,complement C1q,D015922
CD40LG/EREG protein level ratio in blood,CD40LG/EREG protein,
"level of interferon-induced, double-stranded RNA-activated protein kinase in blood",level,D000082162
ACE2/MME protein level ratio in blood,ACE2/MME protein,
parathyroid hormone-related protein amount,parathyroid hormone-related protein,D044162
FADD/PPP1R2 protein level ratio in blood,FADD/PPP1R2 protein,
DLL1/IL18BP protein level ratio in blood,DLL1/IL18BP protein,
FAM3C/NECTIN2 protein level ratio in blood,protein level,
kinesin-like protein KIF16B measurement,kinesin-like protein,
level of EH domain-containing protein 3 in blood serum,level,D000082162
CDKN1A/TMSB10 protein level ratio in blood,CDKN1A/TMSB10 protein,
epididymal secretory protein E1 measurement,epididymal,D030501
CDSN/LY6D protein level ratio in blood,CDSN/LY6D protein,
level of COMM domain-containing protein 9 in blood,level,D000082162
FOXO1/NFATC1 protein level ratio in blood,FOXO1/NFATC1 protein,
APEX1/GPKOW protein level ratio in blood,APEX1/GPKOW protein,
FOXO1/MAP4K5 protein level ratio in blood,protein level,
level of protein disulfide-isomerase A4 in blood serum,level,D000082162
alpha-soluble NSF attachment protein measurement,NSF,
ENG/TNFRSF10C protein level ratio in blood,ENG/TNFRSF10C protein,
CDSN/KLK8 protein level ratio in blood,CDSN/KLK8 protein,
ITGB1/ITGB2 protein level ratio in blood,ITGB1/ITGB2 protein,
stress-induced-phosphoprotein 1 measurement,stress-induced-phosphoprotein 1 measurement,
SRC/TBL1X protein level ratio in blood,SRC/TBL1X protein,
drebrin-like protein measurement,drebrin-like protein measurement,
TFF1/TFF2 protein level ratio in blood,protein level,
FGF2/HBEGF protein level ratio in blood,FGF2/HBEGF protein,
level of acyl-CoA-binding protein in blood,level,D000082162
CD69/TXNDC5 protein level ratio in blood,CD69/TXNDC5 protein,
FGR/LBR protein level ratio in blood,FGR/LBR protein,
CD40LG/MPIG6B protein level ratio in blood,CD40LG/MPIG6B protein,
janus kinase and microtubule-interacting protein 3 measurement,janus kinase,D053613
IgG digalactosylation measurement,IgG,D017099
level of dynein regulatory complex protein 8 in blood,level,D000082162
ENO2/TACC3 protein level ratio in blood,ENO2/TACC3 protein,
SEMA4D/TXNDC5 protein level ratio in blood,SEMA4D/TXNDC5 protein,
zinc finger protein 334 measurement,zinc finger protein,D000075722
plasma leucine rich alpha-2-glycoprotein 1 measurement,plasma leucine,
CDKN1A/TBC1D23 protein level ratio in blood,CDKN1A/TBC1D23 protein,
a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement,disintegrin,D019483
level of Ras-related protein Rap-1A in blood,level,D000082162
level of receptor expression-enhancing protein 4 in blood,level,D000082162
vesicle-trafficking protein SEC22a measurement,vesicle-trafficking protein,
HBEGF/LAT2 protein level ratio in blood,HBEGF/LAT2 protein,
y-box-binding protein 2 measurement,y-box-binding protein 2 measurement,
level of phosphoribosyltransferase domain-containing protein 1 in blood,level,D000082162
cysteine-rich secretory protein 3 measurement,cysteine-rich secretory protein 3,
CD40LG/GP6 protein level ratio in blood,CD40LG/GP6 protein,
"diet measurement, IGF-1 measurement",diet measurement,
